iter	Passed	Remaining
757	2071	661
758	2078	659
759	2082	657
760	2084	654
761	2087	651
762	2090	649
763	2097	647
764	2101	645
765	2104	642
766	2109	640
767	2111	637
768	2115	635
769	2118	632
770	2122	630
771	2126	628
772	2129	625
773	2132	622
774	2136	620
775	2140	617
776	2142	614
777	2145	612
778	2147	609
779	2152	606
780	2163	606
781	2170	605
782	2173	602
783	2175	599
784	2178	596
785	2183	594
786	2186	591
787	2192	589
788	2194	586
789	2201	585
790	2204	582
791	2207	579
792	2210	577
793	2215	574
794	2218	572
795	2221	569
796	2224	566
797	2227	563
798	2231	561
799	2235	558
800	2238	556
801	2240	553
802	2243	550
803	2246	547
804	2249	544
805	2255	542
806	2258	540
807	2262	537
808	2265	534
809	2267	531
810	2269	528
811	2271	525
812	2274	523
813	2277	520
814	2279	517
815	2281	514
816	2283	511
817	2286	508
818	2290	506
819	2293	503
820	2295	500
821	2297	497
822	2299	494
823	2302	491
824	2306	489
825	2308	486
826	2311	483
827	2314	480
828	2317	478
829	2320	475
830	2324	472
831	2326	469
832	2328	466
833	2333	464
834	2337	461
835	2340	459
836	2344	456
837	2346	453
838	2350	451
839	2353	448
840	2355	445
841	2358	442
842	2360	439
843	2362	436
844	2365	433
845	2367	430
846	2370	428
847	2372	425
848	2374	422
849	2376	419
850	2380	416
851	2382	413
852	2385	411
853	2387	408
854	2389	405
855	2391	402
856	2394	399
857	2396	396
858	2398	393
859	2400	390
860	2403	387
861	2405	385
862	2407	382
863	2410	379
864	2412	376
865	2414	373
866	2416	370
867	2418	367
868	2420	364
869	2422	362
870	2425	359
871	2427	356
872	2430	353
873	2432	350
874	2435	347
875	2437	345
876	2440	342
877	2442	339
878	2444	336
879	2447	333
880	2449	330
881	2451	327
882	2454	325
883	2456	322
884	2458	319
885	2460	316
886	2462	313
887	2465	310
888	2467	308
889	2470	305
890	2472	302
891	2475	299
892	2477	296
893	2479	294
894	2482	291
895	2485	288
896	2488	285
897	2490	282
898	2493	280
899	2495	277
900	2500	274
901	2502	271
902	2505	269
903	2508	266
904	2510	263
905	2512	260
906	2518	258
907	2520	255
908	2523	252
909	2526	249
910	2529	247
911	2532	244
912	2535	241
913	2538	238
914	2540	235
915	2543	233
916	2546	230
917	2548	227
918	2550	224
919	2552	221
920	2555	219
921	2558	216
922	2560	213
923	2563	210
924	2565	208
925	2567	205
926	2570	202
927	2572	199
928	2576	196
929	2579	194
930	2582	191
931	2585	188
932	2589	185
933	2592	183
934	2594	180
935	2596	177
936	2599	174
937	2601	171
938	2605	169
939	2608	166
940	2611	163
941	2613	160
942	2617	158
943	2623	155
944	2625	152
945	2627	149
946	2629	147
947	2631	144
948	2635	141
949	2638	138
950	2640	136
951	2642	133
952	2645	130
953	2647	127
954	2650	124
955	2653	122
956	2656	119
957	2658	116
958	2660	113
959	2662	110
960	2666	108
961	2668	105
962	2670	102
963	2672	99
964	2674	97
965	2677	94
966	2680	91
967	2682	88
968	2684	85
969	2686	83
970	2688	80
971	2690	77
972	2692	74
973	2696	71
974	2698	69
975	2700	66
976	2702	63
977	2705	60
978	2707	58
979	2710	55
980	2712	52
981	2715	49
982	2717	46
983	2719	44
984	2721	41
985	2724	38
986	2727	35
987	2728	33
988	2729	30
989	2731	27
990	2733	24
991	2734	22
992	2735	19
993	2737	16
994	2738	13
995	2739	11
996	2740	8
997	2741	5
998	2742	2
999	2743	0
